71,"人教版-初中->七年级下->第八章 二元一次方程组->8.4 三元一次方程组的解法","8.4 三元一次方程组的解法"
74,"人教版-初中->七年级下->第九章 不等式与不等式组->9.1 不等式->9.1.1 不等式及其解集","9.1.1 不等式及其解集"
75,"人教版-初中->七年级下->第九章 不等式与不等式组->9.1 不等式->9.1.2 不等式的性质","9.1.2 不等式的性质"
76,"人教版-初中->七年级下->第九章 不等式与不等式组->9.2 一元一次不等式","9.2 一元一次不等式"
77,"人教版-初中->七年级下->第九章 不等式与不等式组->9.3 一元一次不等式组","9.3 一元一次不等式组"
79,"人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.1 统计调查","10.1 统计调查"
80,"人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.2 直方图","10.2 直方图"
81,"人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.3 课题学习 从数据谈节水","10.3 课题学习 从数据谈节水"
85,"人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.1 三角形的边","11.1.1 三角形的边"
86,"人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.2 三角形的高、中线与角平分线","11.1.2 三角形的高、中线与角平分线"
87,"人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.3 三角形的稳定性","11.1.3 三角形的稳定性"
89,"人教版-初中->八年级上->第十一章 三角形->11.2 与三角形有关的角->11.2.1 三角形的内角","11.2.1 三角形的内角"
90,"人教版-初中->八年级上->第十一章 三角形->11.2 与三角形有关的角->11.2.2 三角形的外角","11.2.2 三角形的外角"
92,"人教版-初中->八年级上->第十一章 三角形->11.3 多边形及其内角和->11.3.1 多边形","11.3.1 多边形"
93,"人教版-初中->八年级上->第十一章 三角形->11.3 多边形及其内角和->11.3.2 多边形的内角和","11.3.2 多边形的内角和"
95,"人教版-初中->八年级上->第十二章 全等三角形->12.1 全等三角形","12.1 全等三角形"
96,"人教版-初中->八年级上->第十二章 全等三角形->12.2 三角形全等的判定","12.2 三角形全等的判定"
97,"人教版-初中->八年级上->第十二章 全等三角形->12.3 角的平分线的性质","12.3 角的平分线的性质"
100,"人教版-初中->八年级上->第十三章 轴对称->13.1 轴对称->13.1.1 轴对称","13.1.1 轴对称"
101,"人教版-初中->八年级上->第十三章 轴对称->13.1 轴对称->13.1.2 线段的垂直平分线的性质","13.1.2 线段的垂直平分线的性质"
102,"人教版-初中->八年级上->第十三章 轴对称->13.2 画轴对称图形","13.2 画轴对称图形"
104,"人教版-初中->八年级上->第十三章 轴对称->13.3 等腰三角形->13.3.1 等腰三角形","13.3.1 等腰三角形"
105,"人教版-初中->八年级上->第十三章 轴对称->13.3 等腰三角形->13.3.2 等边三角形","13.3.2 等边三角形"
106,"人教版-初中->八年级上->第十三章 轴对称->13.4 课题学习 最短路径问题","13.4 课题学习 最短路径问题"
109,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.1 同底数幂的乘法","14.1.1 同底数幂的乘法"
110,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.2 幂的乘方","14.1.2 幂的乘方"
111,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.3 积的乘方","14.1.3 积的乘方"
112,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.4 整式的乘法","14.1.4 整式的乘法"
