教材版本,年级,章,节,小节
,,,28.2 解直角三角形及其应用,28.2.1 解直角三角形
,,,,28.2.2 应用举例
,,第二十九章 投影与视图,29.1 投影,
,,,29.2 三视图,
,,,29.3 课题学习 制作立体模型,
苏教版-初中,七年级上,第1章数学与我们同行,1.1生活 数学,
,,,1.2生活 思考,
,,第2章 有理数,2.1 正数与负数,
,,,2.2 有理数与无理数,
,,,2.3 数轴,
,,,2.4 绝对值与相反数,
,,,2.5 有理数的加法与减法,
,,,2.6 有理数的乘法与除法,
,,,2.7 有理数的乘方,
,,,2.8 有理数的混合运算,
,,第3章 代数式,3.1 整式的概念-用字母表示数,
,,,3.2 整式的概念-代数式,
,,,3.3 整式的概念-代数式的值,
,,,3.4 整式的概念-整式,
,,,3.5 整式的加减-合并同类项,
,,,3.6 整式的加减-整式的加减,
,,第4章 一元一次方程,4.1 从问题到方程,
,,,4.2 解一元一次方程,
,,,4.3 用一元一次方程解决问题,
,,第5章 走进图形世界,5.1 丰富的图形世界,
,,,5.2 图形的运动,
,,,5.3 展开与折叠,
,,,5.4 主视图、左视图、俯视图,
,七年级下,第6章 平面图形的认识（一）,6.1 线段、射线、直线,
,,,6.2 角,
,,,6.3 余角、补角、对顶角,
,,,6.4 平行,
,,,6.5 垂直,
,,第7章 平面图形的认识（二）,7.1 探索直线平行的条件,
,,,7.2 探索平行线的性质,
,,,7.3 图形的平移,
,,,7.4 认识三角形,
,,,7.5 多边形的内角和与外角和,
,,第8章 幂的运算,8.1 同底数幂的乘法,
,,,8.2 幂的乘方与积的乘方,
,,,8.3 同底数幂的除法,
,,第9章 整式乘法与因式分解,9.1 单项式乘单项式,
,,,9.2 单项式乘多项式,
,,,9.3 多项式乘多项式,
,,,9.4 乘法公式,
,,,9.5 多项式的因式分解,
,,第10章 二元一次方程组,10.1 二元一次方程,
,,,10.2 二元一次方程组,
,,,10.3 解二元一次方程组,
,,,10.4 三元一次方程组,
,,,10.5用二元一次方程组解决问题,
,,第11章 一元一次不等式,11.1 生活中的不等式,
,,,11.2 不等式的解集,
,,,11.3 不等式的性质,
,,,11.4 解一元一次不等式,
,,,11.5 用一元一次不等式解决问题,
,,,11.6 一元一次不等式组,
,,第12章 证明,12.1 定义与命题,
,,,12.2 证明,
,,,12.3 互逆命题,
,八年级上,第1章 全等三角形 ,1.1 全等图形,
,,,1.2 全等三角形,
,,,1.3 探索三角形全等的条件,
,,第2章 轴对称图形,2.1 轴对称与轴对称图形,
,,,2.2 轴对称的性质,
,,,2.3 设计轴对称图案,
,,,2.4 线段、角的轴对称性,
,,,2.5 等腰三角形的轴对称性,
,,第3章 勾股定理,3.1 勾股定理,
,,,3.2 勾股定理的逆定理,
,,,3.3 勾股定理的简单应用,
,,第4章 实数,4.1 平方根,
,,,4.2 立方根,
,,,4.3 实数,
,,,4.4 近似数,
,,第5章 平面直角坐标系,5.1 物体位置的确定,
,,,5.2 平面直角坐标系,
,,第6章 一次函数,6.1 函数,
,,,6.2 一次函数,
,,,6.3 一次函数的图像,
,,,6.4 用一次函数解决问题,
,,,6.5 一次函数与二元一次方程,
,,,6.6 一次函数、一元一次方程和一元一次不等式,
,八年级下,第7章 数据的收集、整理、描述,7.1 普查与抽样调查,
,,,7.2 统计图的选用,
,,,7.3 频数和频率,
,,,7.4 频数分布表和频数分布直方图,
,,第8章 认识概率,8.1 确定事件与随机事件,
,,,8.2 可能性的大小,
,,,8.3 频率与概率,
,,第9章 中心对称图形——平行四边形,9.1 图形的旋转,
,,,9.2 中心对称与中心对称图形,
,,,9.3 平行四边形,
,,,9.4 矩形、菱形、正方形,
,,,9.5 三角形的中位线,
,,第10章分式,10.1 分式,
,,,10.2 分式的基本性质,
,,,10.3 分式的加减,
,,,10.4 分式的乘除,
,,,10.5 分式方程,
,,第11章反比例函数,11.1 反比例函数,
,,,11.2 反比例函数的图像与性质,
,,,11.3 用反比例函数解决问题,
,,第12章二次根式,12.1 二次根式,
,,,12.2 二次根式的乘除,
,,,12.3 二次根式的加减,
,九年级上,第1章 一元二次方程,1.1 一元二次方程,
,,,1.2 一元二次方程的解法,
,,,1.3 一元二次方程的根与系数的关系,
,,,1.4 用一元二次方程解决问题,
,,第2章 对称图形—圆,2.1 圆,
,,,2.2 圆的对称性,
,,,2.3 确定圆的条件,
,,,2.4 圆周角,
,,,2.5 直线与圆的位置关系,
,,,2.6 正多边形与圆,
,,,2.7 弧长及扇形的面积,
,,,2.8 圆锥的侧面积,
,,第3章 数据的集中趋势和离散程度,3.1 平均数,
,,,3.2 中位数与众数,
,,,3.3 用计算器求平均数,
,,,3.4 方差,
,,,3.5 用计算器求方差,
,,第4章 等可能条件下的概率,4.1 等可能性,
,,,4.2 等可能条件下的概率（一）,
,,,4.3 等可能条件下的概率（二）,
